University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Concordia University Texas,860,1100,988,21,28,24.5,36690,Private,June 1,3.27,80,6.5,1.0,6442-17890,29.0,http://concordia.edu/
Central Texas College,1083,1246,1152,20,29,23.5,2520,Private College,June 1,3.17,90,6.5,0.0,7436-18353,39.0,http://ctcd.edu/
Culinary Institute LeNotre,1046,1316,1167,18,28,21.0,18539,Public University,June 1,3.29,74,6.5,1.0,4744-6919,23.0,http://culinaryinstitute.edu/
Dallas Baptist University,960,1217,1109,23,26,25.5,38140,Private University,July 1,3.69,89,7.0,1.0,5032-13223,38.0,http://dbu.edu/
Del Mar College,1018,1412,1207,24,30,25.0,3440,Private College,2025-05-05,3.18,75,7.0,1.0,6016-13931,40.0,http://delmar.edu/
Dallas Nursing Institute,1031,1306,1150,21,22,21.5,16400,Public University,June 1,2.81,84,6.5,1.0,3893-5942,15.0,http://dni.edu/
El Paso Community College,849,1080,982,14,20,18.0,3274,Public Community College,2025-12-08,2.64,70,6.5,1.0,1424-2872,13.0,http://epcc.edu/
East Texas Baptist University,1058,1335,1210,20,32,25.0,30050,Private University,Rolling,3.7,84,6.0,1.0,6277-16266,33.0,http://etbu.edu/
Galen College of Nursing,1026,1408,1221,21,27,24.0,16400,Private College,January 15,3.12,75,6.5,1.0,5243-12602,40.0,http://galencollege.edu/
Galveston College,1021,1220,1134,21,26,23.5,2546,Private College,July 1,3.41,77,7.0,1.0,8501-17154,26.0,http://gc.edu/
Grayson College,1130,1220,1192,23,30,28.5,2910,Private College,2025-06-15,3.6,61,7.0,1.0,6469-11066,38.0,http://grayson.edu/
Houston Baptist University,1173,1277,1229,23,26,25.5,32480,Private,July 1,3.16,85,7.0,1.0,5959-11777,34.0,http://hbu.edu/
Houston Community College,905,1044,976,15,22,20.5,2040,Public Community College,January 15,2.6,72,6.0,1.0,1444-3211,12.0,http://hccs.edu/
Hill College,1125,1399,1281,22,32,28.0,3570,Private College,2025-12-16,3.62,61,61.0,1.0,7113-16542,36.0,http://hillcollege.edu/
Howard College,1107,1248,1182,22,28,26.0,2766,Private College,March 1,3.48,89,6.0,1.0,5655-13778,38.0,http://howardcollege.edu/
Howard Payne University,880,1100,1019,17,23,22.0,33322,Public University,July 1,3.43,85,7.0,1.0,4049-10863,15.0,http://hputx.edu/
Lamar University,910,1130,1040,19,23,20.0,8690,Public University,March 1,3.38,85,6.0,1.0,2541-6284,22.0,http://lamar.edu/
Lamar State College – Port Arthur,951,1321,1131,21,26,24.5,1770,Public,February 1,3.01,80,7.0,1.0,3289-6344,20.0,http://lamarpa.edu/
Lubbock Christian University,900,1160,1086,22,29,26.5,27298,Private University,Rolling,3.1,90,6.0,1.0,7112-17602,39.0,http://lcu.edu/
LeTourneau University,1140,1370,1262,17,23,22.0,35500,Public University,January 15,3.48,85,6.5,1.0,5200-9229,22.0,http://letu.edu/
Lamar Institute of Technology,1084,1321,1202,17,26,23.5,2844,Public University,Rolling,3.17,80,6.0,1.0,4276-10548,21.0,http://lit.edu/
Lone Star College System,1099,1226,1164,24,26,24.5,3090,Private College,July 1,3.41,85,7.0,1.0,8743-15065,34.0,http://lonestar.edu/
Lamar State College – Orange,1066,1197,1142,21,26,24.5,2832,Public College,2025-12-09,3.04,72,6.0,1.0,3743-9781,19.0,http://lsco.edu/
McLennan Community College,802,925,860,17,24,19.5,3660,Public Community College,March 1,2.2,68,5.5,1.0,1442-2952,10.0,http://mclennan.edu/
McMurry University,1010,1170,1072,21,24,23.5,31372,Public University,February 1,2.9,70,7.0,1.0,4153-7379,24.0,http://mcm.edu/
Midland College,1162,1349,1240,21,32,26.5,3030,Private College,July 1,3.56,79,7.0,1.0,7292-12150,28.0,http://midland.edu/
Midwestern  State University,955,1208,1064,17,25,23.0,10310,Public University,March 1,3.16,71,6.0,1.0,3057-8927,24.0,http://mwsu.edu/
National American University,1000,1215,1092,19,26,21.5,10000,Public University,Rolling,3.31,80,6.0,1.0,2933-5323,17.0,http://national.edu/
North Central Texas College,1174,1340,1272,21,31,26.0,2520,Private College,July 1,3.7,75,7.0,1.0,5900-11520,40.0,http://nctc.edu/
North American University,1069,1205,1138,18,25,19.5,12836,Public University,March 1,3.27,71,6.0,0.0,3331-7698,15.0,http://northamerican.edu/
North Lake College,1161,1361,1257,21,29,25.0,3412,Private College,February 1,3.28,82,7.0,1.0,5581-9596,31.0,http://northlakecollege.edu/
Odessa College,1040,1267,1150,21,27,24.0,2640,Private College,June 1,3.34,84,6.5,1.0,8918-13421,33.0,http://odessa.edu/
Ogle School,1111,1157,1147,19,29,23.0,4000,Public University,March 1,3.42,75,6.0,1.0,3107-5389,18.0,http://ogleschool.edu/
Our Lady of the Lake University,1091,1350,1234,21,28,24.5,31728,Private,Rolling,3.51,78,6.0,1.0,6021-15383,27.0,http://ollusa.edu/
Panola College,1160,1343,1232,23,27,26.5,2280,Private College,July 1,3.47,87,7.0,1.0,5578-13385,36.0,http://panola.edu/
Patty Hands Shelton School of Nursing,1037,1305,1174,20,23,21.5,28000,Public University,January 15,3.5,77,6.5,1.0,4844-8471,23.0,http://phssn.edu/
Prairie View A&M University,1035,1330,1172,18,22,18.5,15320,Public University,February 1,3.18,84,7.0,0.0,3457-8375,19.0,http://pvamu.edu/
Rice University,1500,1570,1553,17,24,22.5,58128,Public University,2025-09-01,2.84,78,6.0,1.0,4555-9810,21.0,http://rice.edu/
Richland College,1048,1281,1158,24,27,24.5,10000,Private College,Rolling,3.57,90,6.0,1.0,6142-17883,39.0,http://richlandcollege.edu/
San Jacinto College,1157,1310,1242,21,29,25.0,1992,Private College,July 1,3.7,87,7.0,1.0,8742-13555,36.0,http://sanjac.edu/
Schreiner University,1118,1291,1216,20,24,22.0,37396,Public University,June 1,2.89,78,6.5,1.0,5520-10443,17.0,http://schreiner.edu/
Stephen F. Austin State University,980,1160,1074,17,27,24.0,10600,Public University,2025-07-01,2.84,81,6.0,1.0,5028-10781,25.0,http://sfasu.edu/
Sam Houston State University,940,1140,1055,21,25,24.0,9228,Public University,March 1,3.39,79,6.0,1.0,4193-7741,16.0,http://shsu.edu/
Southern Methodist University,1320,1480,1424,23,30,28.5,64460,Private,February 1,3.62,82,7.0,1.0,6439-16349,31.0,http://smu.edu/
South Plains College,1085,1312,1198,23,31,29.0,2581,Private College,2025-12-08,3.17,80,6.5,1.0,6891-17733,29.0,http://southplainscollege.edu/
South Texas College,1113,1292,1184,22,29,26.5,4920,Private College,February 1,3.36,88,7.0,1.0,7910-13626,37.0,http://southtexascollege.htp/
Southwestern University,1006,1218,1109,19,29,23.0,10000,Public University,March 1,3.16,75,6.0,1.0,2370-5549,23.0,http://southwestern.edu/
Seminary of the Southwest,1109,1179,1135,21,25,24.0,8940,Public University,January 15,3.31,79,6.5,1.0,2136-6654,23.0,http://ssw.edu/
South Texas College of Law,1076,1306,1205,23,29,28.0,22240,Private College,June 1,3.44,76,6.5,1.0,8966-13835,25.0,http://stcl.edu/
Saint Edward’s University,1030,1235,1135,18,25,19.5,51384,Public University,2025-12-20,3.27,79,6.5,1.0,2427-6837,20.0,http://stedwards.edu/
Saint Mary’s University,942,1292,1121,17,27,24.0,9380,Public University,July 1,3.1,73,7.0,1.0,5015-8292,21.0,http://stmarytx.edu/
University of Saint Thomas,1086,1282,1173,21,25,24.0,11240,Public University,July 1,2.99,79,7.0,0.0,2033-7746,25.0,http://stthomas.edu/
University of Saint Thomas,1086,1282,1173,21,25,24.0,11240,Public University,July 1,2.99,79,7.0,1.0,2033-7746,25.0,http://stthom.edu/
Texas A&M Health Science Center,955,1161,1052,19,24,20.5,14150,Public University,Rolling,3.31,78,6.0,1.0,5460-11396,23.0,http://tamhsc.edu/
Texas A&M International University,962,1210,1083,18,27,20.5,10000,Public University,January 15,3.29,73,6.5,1.0,2062-5296,24.0,http://tamiu.edu/
Texas A&M University,956,1225,1078,19,25,21.0,15620,Public,January 15,3.49,79,6.5,1.0,3171-6693,20.0,http://tamu.edu/
Texas A&M University Commerce,1046,1256,1167,21,22,21.5,10000,Public,June 1,3.15,84,6.5,1.0,5518-9310,16.0,http://tamuc.edu/
Texas A&M University Corpus Christi,921,1162,1058,19,22,19.5,12140,Public University,2025-03-00,2.85,84,7.0,1.0,3754-8225,24.0,http://tamucc.edu/
Texas A&M University Kingsville,1017,1285,1138,18,28,21.0,12910,Public University,2025-06-01,3.25,61,7.0,1.0,4288-10481,16.0,http://tamuk.edu/
Texas A&M University Texarkana,1064,1192,1138,17,22,21.5,15080,Public University,June 1,2.97,84,6.5,1.0,4884-9927,18.0,http://tamut.edu/
Tarleton State University,960,1150,1068,17,28,24.5,7878,Public University,2025-11-01,2.9,80,6.5,1.0,4167-7062,16.0,http://tarleton.edu/
Texas Christian University,1150,1375,1303,23,31,29.0,57220,Private,March 1,3.3,83,6.0,1.0,6931-17640,32.0,http://tcu.edu/
Temple College,1019,1415,1227,20,29,23.5,3000,Private College,July 1,3.5,83,7.0,1.0,7132-18035,32.0,http://templejc.edu/
Tyler Junior College,1120,1355,1256,23,31,29.0,3112,Private College,February 1,3.28,78,7.0,1.0,6226-17138,27.0,http://tjc.edu/
Trinity University,1320,1465,1407,17,23,22.0,51352,Public University,January 15,3.39,85,6.5,0.0,5329-8527,15.0,http://trinity.edu/
Texas State Technical College,945,1313,1142,17,28,24.5,7192,Public Technical College,February 1,3.16,74,7.0,1.0,5040-7042,24.0,http://tstc.edu/
Texas Southern University,800,1000,913,20,25,22.5,9173,Public University,January 15,3.48,79,6.5,1.0,3476-9035,24.0,http://tsu.edu/
Texas Tech University,1090,1270,1182,18,28,21.0,11852,Public University,Rolling,3.28,74,6.0,1.0,4435-10353,17.0,http://ttu.edu/
Texas Tech University Health Sciences Center,980,1266,1135,18,23,18.5,12990,Public University,January 15,3.28,85,6.5,1.0,5788-11557,20.0,http://ttuhsc.edu/
Texas Woman’s University,1017,1247,1113,17,23,22.0,8648,Public,July 1,3.12,77,7.0,1.0,5225-7737,23.0,http://twu.edu/
Texas Chiropractic College,1144,1334,1259,21,30,25.5,25770,Private College,February 1,3.51,78,7.0,1.0,5966-12033,27.0,http://txchiro.edu/
Texas State University,980,1190,1093,21,26,24.5,11450,Public University,Rolling,3.07,72,6.0,1.0,5472-10562,17.0,http://txstate.edu/
University of Dallas,1170,1410,1300,19,22,19.5,14564,Public,February 1,3.14,84,7.0,1.0,4040-8754,20.0,http://udallas.edu/
Universty of Houston,925,1248,1082,19,24,20.5,13370,Public University,2025-04-01,3.12,68,6.0,1.0,2548-6468,17.0,http://uh.edu/
University of Houston Clear Lake,990,1170,1105,19,26,21.5,7746,Public University,June 1,3.28,80,6.5,1.0,3438-10329,23.0,http://uhcl.edu/
University of Houston Downtown,960,1110,1041,18,25,19.5,7708,Public,January 15,3.43,79,6.5,1.0,5861-12815,16.0,http://uhd.edu/
University of the Incarnate Word,900,1140,1042,19,23,20.0,35660,Public University,March 1,3.47,85,6.0,1.0,5543-9232,20.0,http://uiw.edu/
University of Mary Hardin-Baylor,970,1200,1098,18,29,21.5,33150,Public University,January 15,3.37,83,6.5,1.0,4755-9381,24.0,http://umhb.edu/
University of North Texas,950,1277,1132,17,27,24.0,12100,Public University,January 15,3.02,81,6.5,1.0,4279-7000,16.0,http://unt.edu/
University of North Texas Health Science Center,982,1207,1092,21,26,24.5,28000,Public,Rolling,3.37,72,6.0,0.0,5427-10589,19.0,http://unthsc.edu/
University of Texas Arlington,990,1230,1116,20,22,21.0,11728,Public University,Rolling,3.21,76,6.0,1.0,4814-8578,21.0,http://uta.edu/
University of Texas Brownsville,922,1317,1100,20,27,23.5,10800,Public University,March 1,2.95,73,6.0,0.0,4763-7138,22.0,http://utb.edu/
University of Texas Dallas,1170,1410,1300,21,26,24.5,14564,Public,February 1,2.87,72,7.0,1.0,2755-4859,16.0,http://utdallas.edu/
University of Texas at El Paso,870,1090,982,21,22,21.5,9744,Public University,February 1,2.89,84,7.0,1.0,3243-5947,20.0,http://utep.edu/
University of Texas at Austin,1230,1490,1380,20,28,24.0,11678,Public,February 1,3.22,74,7.0,1.0,3422-9495,21.0,http://utexas.edu/
University of Texas Health Science Center Houston,935,1311,1103,17,28,24.5,12220,Public,June 1,3.21,74,6.5,1.0,4309-7591,23.0,http://uth.edu/
University of Texas Health Science Center San Antonio,930,1312,1131,21,25,24.0,106762909,Public,July 1,2.87,79,7.0,1.0,2960-5382,22.0,http://uthscsa.edu/
University of Texas Medical Branch at Galveston,975,1356,1154,21,26,24.5,12990,Public University,February 1,3.15,80,7.0,1.0,2721-8260,22.0,http://utmb.edu/
University of Texas Pan American,974,1261,1098,17,25,23.0,8520,Public University,January 15,2.84,79,6.5,0.0,4178-9830,25.0,http://utpa.edu/
University of Texas of the Permian Basin,1015,1237,1144,18,22,18.5,9180,Public,Rolling,3.5,84,6.0,1.0,3637-10170,23.0,http://utpb.edu/
University of Texas at San Antonio,1100,1222,1155,17,23,22.0,11330,Public,January 15,3.29,85,6.5,1.0,3198-7170,21.0,http://utsa.edu/
University of Texas Southwestern Medical Center,1100,1352,1223,17,23,22.0,7900,Public University,January 15,3.38,77,6.5,1.0,2648-8183,22.0,http://utsouthwestern.edu/
University of Texas at Tyler,1010,1220,1113,21,26,24.5,9920,Public University,Rolling,3.48,80,6.0,1.0,5914-9573,17.0,http://online.uttyler.edu/
Valley Grande Institute,1060,1278,1162,22,28,26.0,33472,Private,Rolling,3.41,88,6.0,1.0,7346-14965,37.0,http://vgi.edu/
Victoria College,1038,1344,1187,24,32,26.0,25340,Private College,Rolling,3.35,76,6.0,0.0,5705-13573,25.0,http://victoriacollege.edu/
Wayland Baptist University,1159,1349,1246,20,28,23.0,23186,Private University,July 1,3.26,81,7.0,1.0,6031-14882,30.0,http://wbu.edu/
Weatherford College,1160,1319,1258,20,32,25.0,4560,Private College,February 1,3.69,80,7.0,1.0,7697-14697,29.0,http://wc.edu/
West Texas A&M University,973,1173,1053,19,27,22.0,10000,Public University,March 1,3.15,73,6.0,1.0,2034-6653,16.0,http://wtamu.edu/
University of the Virgin Islands,925,1155,1060,21,22,21.5,12030,Public University,Rolling,3.43,84,6.0,1.0,2923-7707,24.0,http://uvi.edu/
Brigham Young University,1290,1450,1376,19,22,19.5,6496,Public University,Rolling,3.11,84,6.0,1.0,3226-8151,16.0,http://byu.edu/
Dixie State University,960,1257,1126,20,26,23.0,8030,Public University,February 1,3.43,72,7.0,1.0,5979-10438,20.0,http://dixie.edu/
Salt Lake Community College,931,1082,998,14,21,18.5,4257,Public Community College,Rolling,2.44,77,5.5,0.0,1204-2872,10.0,http://slcc.edu/
Snow College,1104,1313,1204,21,27,24.0,4564,Private College,July 1,3.54,81,7.0,1.0,6566-14499,30.0,http://snow.edu/
Southern Utah University,981,1221,1103,20,24,22.0,6770,Public University,2025-12-20,3.12,78,7.0,1.0,5898-10027,17.0,http://suu.edu/
Utah State University,1060,1300,1189,19,25,21.0,9228,Public,January 15,2.87,79,6.5,1.0,3179-7463,22.0,http://usu.edu/
University of Utah,1148,1378,1249,20,26,23.0,41416,Public University,June 1,3.12,72,6.5,1.0,4827-7617,18.0,http://utah.edu/
Utah Valley University,1031,1234,1150,20,25,22.5,6270,Public University,January 15,2.87,71,6.5,1.0,5831-8612,22.0,http://uvu.edu/
Weber State University,1019,1348,1174,21,23,22.5,6391,Public University,January 15,3.36,85,6.5,1.0,4567-6715,19.0,http://weber.edu/
Averett University,960,1191,1054,17,26,23.5,38550,Public University,February 1,3.36,80,7.0,1.0,5659-9626,21.0,http://averett.edu/
Christendom College,1055,1244,1166,21,28,24.5,6260,Private College,February 1,3.59,90,7.0,1.0,6294-12142,39.0,http://christendom.edu/
Christopher Newport University,1100,1300,1207,20,25,22.5,16351,Public,January 15,3.04,79,6.5,1.0,4578-8079,21.0,http://cnu.edu/
Dabney S. Lancaster Community College,918,1036,969,16,23,17.5,6240,Public Community College,February 1,2.64,61,6.5,0.0,870-2265,12.0,http://dslcc.edu/
Eastern Mennonite University,1025,1402,1228,23,30,28.5,41860,Private,January 15,3.16,83,6.5,1.0,7004-16109,32.0,http://emu.edu/
Eastern Virginia Medical School,959,1235,1085,21,24,23.5,15370,Public University,2025-07-01,2.86,70,6.5,1.0,2452-4867,15.0,http://evms.edu/
Ferrum College,880,1100,990,24,27,24.5,38320,Private College,February 1,3.16,80,7.0,1.0,5646-14566,29.0,http://ferrum.edu/
Germanna Community College,882,1129,1024,15,23,21.0,5066,Public Community College,February 1,2.25,67,6.5,1.0,866-2093,15.0,http://germanna.edu/
George Mason University,1140,1340,1247,17,22,21.5,13815,Public University,2025-06-01,3.22,76,7.0,1.0,5229-7660,18.0,http://gmu.edu/
Hampden-Sydney College,1060,1230,1168,21,32,26.5,52388,Private College,2025-11-03,3.3,78,6.5,1.0,8129-18566,27.0,http://hsc.edu/
The Institute for the Psychological Sciences,990,1214,1102,19,28,22.5,10000,Public University,February 1,3.38,74,7.0,1.0,5750-8460,25.0,http://ipsciences.edu/
James Madison University,1170,1320,1247,17,28,24.5,13576,Public University,June 1,3.29,74,6.5,1.0,5743-12532,23.0,http://jmu.edu/
Liberty University,1096,1219,1176,21,28,25.5,21222,Public University,Rolling,3.0,74,6.0,1.0,5824-11523,21.0,http://liberty.edu/
Longwood University,1020,1190,1117,18,29,21.5,15200,Public,2025-12-06,3.35,75,6.0,1.0,5434-11142,21.0,http://longwood.edu/
Marymount University,1039,1168,1104,17,22,21.5,39050,Public University,Rolling,3.26,76,6.0,0.0,4222-7923,17.0,http://marymount.edu/
New River Community College,921,1050,998,18,20,19.0,4835,Public Community College,2025-08-18,2.43,70,6.5,1.0,1763-3373,16.0,http://nr.edu/
Norfolk State University,840,1100,980,21,23,22.5,9910,Public University,January 15,3.22,85,6.5,1.0,3209-8651,16.0,http://nsu.edu/
Northern Virginia Community College,889,1051,977,15,24,21.5,5703,Public Community College,March 1,2.41,68,5.5,1.0,949-2530,14.0,http://nvcc.edu/
Old Dominion University,1110,1290,1190,20,25,22.5,12262,Public University,January 15,3.44,79,6.5,1.0,5374-10480,25.0,http://odu.edu/
Radford University,950,1170,1061,19,27,22.0,12286,Public University,January 15,3.43,73,6.5,1.0,4086-7695,21.0,http://radford.edu/
Randolph College,960,1210,1109,22,26,25.0,29010,Private College,January 15,3.6,77,6.5,1.0,8340-12429,26.0,http://randolphcollege.edu/
Rappahannock Community College,954,1064,1003,18,23,20.5,4958,Public Community College,February 1,2.7,67,6.5,1.0,1184-2078,11.0,http://rappahannock.edu/
Regent University,1050,1250,1169,20,25,22.5,20686,Public University,January 15,3.34,79,6.5,1.0,5000-9812,19.0,http://regent.edu/
Reynolds Community College,842,974,899,15,22,20.5,5136,Public Community College,January 15,2.51,72,6.0,1.0,989-1743,12.0,http://reynolds.edu/
University of Richmond,1410,1530,1474,18,24,19.0,62600,Public University,2025-12-01,3.15,78,6.5,1.0,2574-5103,24.0,http://richmond.edu/
Randolph-Macon College,960,1210,1109,20,32,25.0,29010,Private College,July 1,3.62,83,7.0,1.0,8072-14484,32.0,https://rmc.edu/
Roanoke College,1090,1270,1193,21,29,25.0,36774,Private College,July 1,3.18,85,7.0,1.0,7401-14146,34.0,http://roanoke.edu/
Sentara College of Health Sciences,1088,1294,1201,22,31,27.5,25520,Private College,June 1,3.7,76,6.5,1.0,8155-14419,25.0,http://sentara.edu/
Stratford University,1010,1214,1112,21,27,25.0,10000,Public University,January 15,3.12,81,6.5,1.0,4543-10444,17.0,http://stratford.edu/
Shenandoah University,1112,1246,1187,18,25,19.5,36028,Public University,January 15,3.27,71,6.5,1.0,4443-7644,15.0,http://su.edu/
Southern Virgina University,1056,1357,1188,20,26,23.0,10000,Public University,February 1,2.89,72,7.0,1.0,3668-9801,16.0,http://svu.edu/
Southwest Virgina Community College,797,992,914,15,22,20.5,5000,Public Community College,January 15,2.45,72,6.0,1.0,1318-1973,12.0,http://sw.edu/
Tidewater Community College,873,1127,1003,17,23,19.0,5714,Public Community College,February 1,2.43,61,6.5,1.0,1412-2659,15.0,http://tcc.edu/
Thomas Nelson Community College,967,1182,1054,14,21,18.5,4944,Public Community College,Rolling,2.38,65,5.5,1.0,1611-2773,11.0,http://tncc.edu/
